fecha,anio,mes,dia_semana,hora3,fallecidos,CANTIDAD DE LESIONADOS,CLASE SINIESTRO,CAUSA FACTOR PRINCIPAL,SUPERFICIE DE CALZADA,TIPO DE VÍA,RED VIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,lat,lon,"('ruta',)",km_red
2021-01-29,2021,1,4,0,4,0,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,PUNO,SAN ROMAN,CABANILLAS,-15.6609065,-70.4690692,PE-34A,255.53711091107704
2021-01-29,2021,1,4,0,1,5,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,ANCASH,HUARAZ,INDEPENDENCIA,-9.5553723,-77.6120294,PE-14,115.44286739731186
2021-01-29,2021,1,4,0,1,0,ATROPELLO,NEGLIGENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,PUNO,SAN ROMAN,CARACOTO,-15.5359261,-70.1144705,PE-3S,1324.4612692244266
2021-01-29,2021,1,4,0,1,2,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,PUNO,LAMPA,CALAPUJA,-15.2802355,-70.2564289,PE-3S,1288.3641334518163
2021-01-30,2021,1,5,0,1,0,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LIMA,HUAURA,HUACHO,-11.169286827738713,-77.58567814112875,PE-1N,142.20988417265733
2021-01-30,2021,1,5,0,1,0,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,-7.818645,-78.019036,PE-3N,1104.5493718897574
2021-01-30,2021,1,5,0,1,1,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,SAN MARTIN,LAMAS,TABALOSOS,-6.393684,-76.628262,PE-5N,983.9141300089448
2021-01-30,2021,1,5,0,2,0,DESPISTE,NEGLIGENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,PIURA,PAITA,PAITA,-5.103051878962269,-81.06725659719011,PE-02,44.06519858806071
2021-01-30,2021,1,5,0,1,0,CHOQUE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,CUSCO,URUBAMBA,OLLANTAYTAMBO,-13.203964,-72.297491,PE-28B,592.7750254581673
2021-01-30,2021,1,5,0,1,0,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,AREQUIPA,AREQUIPA,UCHUMAYO,-16.447971,-71.696988,PE-34A,18.067103345846483
2021-01-30,2021,1,5,0,1,1,CHOQUE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,AMAZONAS,UTCUBAMBA,EL MILAGRO,-5.669654,-78.58634,PE-5NC,6.37576968443059
2021-01-30,2021,1,5,0,1,1,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,CONCRETO,CARRETERA,NACIONAL,CALLAO,CALLAO,CALLAO,-12.033276606846124,-77.10028573127246,PE-20B,4.329790620548668
2021-01-30,2021,1,5,0,2,1,CHOQUE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LAMBAYEQUE,CHICLAYO,CHICLAYO,-6.794637,-79.863534,PE-1N,780.076398363784
2021-01-31,2021,1,6,0,1,4,CHOQUE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,AREQUIPA,CARAVELI,CHAPARRA,-16.033304,-73.999519,PE-1S,653.0058651218451
2021-01-31,2021,1,6,0,1,1,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,PIURA,MORROPON,CHULUCANAS,-5.13616,-80.115052,PE-1NR,47.19022125246659
